match_id,date,home_team,away_team,winner
Ind24706waniaTa,22-08-1967,India,Taiwan,Taiwan
Sou26251liceaVi,14-11-1971,South Korea,Vietnam Republic,South Korea
Sou26426raqeaIr,07-05-1972,South Korea,Iraq,Iraq
Tha26436reandSo,17-05-1972,Thailand,South Korea,South Korea
Tha26438diandCa,19-05-1972,Thailand,Cambodia,Thailand
Sen26775anaalGh,21-04-1973,Senegal,Ghana,Ghana
Gui26829alieaMa,14-06-1973,Guinea,Mali,Guinea
Mau26829niausTa,14-06-1973,Mauritius,Tanzania,Mauritius
Mal26871aitiaKu,26-07-1973,Malaysia,Kuwait,Malaysia
Cam26871oreiaSi,26-07-1973,Cambodia,Singapore,Singapore
Ban26872andshTh,27-07-1973,Bangladesh,Thailand,Thailand
Mya26873reaarSo,28-07-1973,Myanmar,South Korea,Myanmar
Ind26885liciaVi,09-08-1973,India,Vietnam Republic,Vietnam Republic
Alg26899riaiaSy,23-08-1973,Algeria,Syria,Syria
Alg26901raqiaIr,25-08-1973,Algeria,Iraq,Algeria
Qat27116tesarUn,28-03-1974,Qatar,United Arab Emirates,Qatar
Hon27234siangIn,24-07-1974,Hong Kong,Indonesia,Indonesia
Ind27242siaiaIn,01-08-1974,India,Indonesia,Indonesia
Syr27311ccoiaMo,09-10-1974,Syria,Morocco,Morocco
Lib27355siayaTu,22-11-1974,Libya,Tunisia,Tunisia
Sou27381siaeaMa,18-12-1974,South Korea,Malaysia,South Korea
Mor27588anacoGh,13-07-1975,Morocco,Ghana,Morocco
Ken27707awiyaMa,09-11-1975,Kenya,Malawi,Kenya
Lib27751riayaSy,23-12-1975,Libya,Syria,Syria
Cze27931anyiaGe,20-06-1976,Czechoslovakia,Germany,Czechoslovakia
Sou28116siaeaMa,22-12-1976,South Korea,Malaysia,Malaysia
Tun28134ccoiaMo,09-01-1977,Tunisia,Morocco,Tunisia
Arg28206rannaIr,22-03-1977,Argentina,Iran,Argentina
Zam28302riaiaAl,26-06-1977,Zambia,Algeria,Zambia
Ira28333ccoanMo,27-07-1977,Iran,Morocco,Iran
Par28368inaayAr,31-08-1977,Paraguay,Argentina,Paraguay
Gui28868aliauMa,13-01-1979,Guinea-Bissau,Mali,Mali
Gui28869neaauGu,14-01-1979,Guinea-Bissau,Guinea,Guinea
Cam28974neaonGu,29-04-1979,Cameroon,Guinea,Guinea
Arg28997ndsnaNe,22-05-1979,Argentina,Netherlands,Argentina
Gam29267niaiaMa,16-02-1980,Gambia,Mauritania,Gambia
Alg29299yptiaEg,19-03-1980,Algeria,Egypt,Algeria
Ita29393kialyCz,21-06-1980,Italy,Czechoslovakia,Czechoslovakia
Nig29414siaiaTu,12-07-1980,Nigeria,Tunisia,Nigeria
Zam29555ccoiaMo,30-11-1980,Zambia,Morocco,Morocco
Hon29586 PRngCh,31-12-1980,Hong Kong,China PR,China PR
Mal29630nealiGu,13-02-1981,Mali,Guinea,Guinea
Rwa29716piadaEt,10-05-1981,Rwanda,Ethiopia,Ethiopia
Ivo30003ogostTo,21-02-1982,Ivory Coast,Togo,Togo
Ivo30004asostBu,22-02-1982,Ivory Coast,Burkina Faso,Burkina Faso
Lib30029anayaGh,19-03-1982,Libya,Ghana,Ghana
Tha30086orendSi,15-05-1982,Thailand,Singapore,Thailand
Tha30088reandSo,17-05-1982,Thailand,South Korea,Thailand
Ger30140ncenyFr,08-07-1982,Germany,France,Germany
Ind30241siaiaMa,17-10-1982,Indonesia,Malaysia,Indonesia
Uga30282nyadaKe,27-11-1982,Uganda,Kenya,Kenya
Sen30353geralNi,06-02-1983,Senegal,Niger,Senegal
Gam30367oneiaSi,20-02-1983,Gambia,Sierra Leone,Gambia
Mal30374nealiGu,27-02-1983,Mali,Guinea,Mali
