country,matches,percentage_matches
United States,1265,2.86
France,830,1.88
Malaysia,755,1.71
England,686,1.55
Sweden,660,1.49
Qatar,633,1.43
Germany,608,1.37
Brazil,569,1.29
Spain,568,1.28
United Arab Emirates,557,1.26
South Africa,533,1.21
Austria,518,1.17
Italy,508,1.15
Thailand,501,1.13
Switzerland,497,1.12
South Korea,479,1.08
Hungary,462,1.04
Argentina,458,1.04
Egypt,421,0.95
Chile,418,0.95
Netherlands,417,0.94
Belgium,414,0.94
Mexico,411,0.93
Norway,402,0.91
Poland,398,0.9
Saudi Arabia,396,0.9
Denmark,393,0.89
Uruguay,387,0.87
Trinidad and Tobago,386,0.87
Portugal,381,0.86
Singapore,378,0.85
Tunisia,376,0.85
Scotland,374,0.85
Kuwait,373,0.84
Japan,372,0.84
Kenya,365,0.83
Morocco,360,0.81
Turkey,345,0.78
Finland,341,0.77
Uganda,327,0.74
Tanzania,319,0.72
Wales,316,0.71
Peru,314,0.71
Romania,309,0.7
China PR,307,0.69
Republic of Ireland,305,0.69
Australia,300,0.68
Greece,298,0.67
Jamaica,297,0.67
Malawi,294,0.66
Indonesia,294,0.66
Costa Rica,291,0.66
Northern Ireland,288,0.65
Cyprus,284,0.64
Ethiopia,282,0.64
Bulgaria,277,0.63
Malta,274,0.62
Iran,269,0.61
Bahrain,267,0.6
Zambia,266,0.6
Ghana,263,0.59
India,261,0.59
Oman,260,0.59
Honduras,253,0.57
Jordan,246,0.56
Israel,240,0.54
Luxembourg,238,0.54
Cameroon,235,0.53
Estonia,233,0.53
Russia,232,0.52
Paraguay,228,0.52
Gabon,227,0.51
Senegal,226,0.51
Nigeria,226,0.51
Ivory Coast,226,0.51
Algeria,223,0.5
Ecuador,220,0.5
Yugoslavia,217,0.49
Hong Kong,216,0.49
Mali,211,0.48
El Salvador,210,0.47
Guatemala,210,0.47
Haiti,207,0.47
Bolivia,206,0.47
Iceland,205,0.46
Panama,198,0.45
Colombia,197,0.45
Czechoslovakia,195,0.44
Zimbabwe,184,0.42
Venezuela,182,0.41
Latvia,178,0.4
Libya,178,0.4
Albania,178,0.4
Sudan,176,0.4
Rwanda,171,0.39
Congo,170,0.38
Lebanon,169,0.38
Angola,168,0.38
Soviet Union,167,0.38
Iraq,167,0.38
