team,total_matches,total_opponents,win_ratio,loss_ratio,goals_scored_per_match,goals_conceded_per_match,goals_ratio,overall_performance_score
Brazil,1023,90,0.6,0.2,2.2,0.9,2.5,8.6
Spain,733,91,0.6,0.2,2.0,0.9,2.3,7.3
England,982,87,0.6,0.2,2.1,0.9,2.2,7.1
Iran,525,121,0.6,0.2,1.9,0.8,2.3,7.0
Germany,986,88,0.6,0.2,2.2,1.2,1.9,6.8
Argentina,1022,81,0.5,0.2,1.9,1.0,1.8,6.0
Italy,838,80,0.5,0.2,1.7,1.0,1.8,6.0
South Korea,905,121,0.5,0.2,1.7,0.9,1.9,5.9
Croatia,359,76,0.5,0.2,1.7,1.0,1.7,5.6
Russia,718,92,0.5,0.2,1.7,1.0,1.8,5.3
Netherlands,823,88,0.5,0.3,2.1,1.2,1.7,5.1
Australia,543,100,0.5,0.3,2.0,1.1,1.9,5.0
Czech Republic,332,73,0.5,0.3,1.8,1.0,1.7,5.0
Mexico,935,102,0.5,0.3,1.7,1.0,1.7,4.9
Morocco,580,111,0.5,0.2,1.4,0.8,1.7,4.7
New Caledonia,237,24,0.5,0.4,2.6,1.4,1.8,4.6
Egypt,685,117,0.5,0.3,1.6,1.0,1.6,4.6
Ivory Coast,589,78,0.5,0.2,1.6,1.0,1.6,4.6
Sweden,1053,98,0.5,0.3,2.0,1.3,1.5,4.2
China PR,609,122,0.5,0.3,1.8,1.1,1.6,4.2
Portugal,652,84,0.5,0.3,1.7,1.1,1.5,4.2
Ghana,638,93,0.5,0.3,1.6,1.0,1.6,4.2
Iraq,577,81,0.5,0.2,1.5,0.9,1.6,4.2
Nigeria,617,103,0.5,0.2,1.5,1.0,1.5,4.2
Tahiti,213,26,0.5,0.4,2.7,1.7,1.6,4.1
France,880,85,0.5,0.3,1.8,1.3,1.4,4.1
Japan,686,114,0.5,0.3,1.8,1.2,1.5,4.0
Saudi Arabia,658,121,0.5,0.3,1.6,1.0,1.5,3.9
Zambia,768,74,0.5,0.3,1.6,1.1,1.5,3.7
Serbia,309,82,0.5,0.3,1.6,1.1,1.5,3.6
Ukraine,301,71,0.4,0.3,1.4,1.0,1.4,3.6
Hungary,966,88,0.5,0.3,2.0,1.5,1.4,3.5
German DR,298,54,0.5,0.3,1.7,1.2,1.4,3.5
South Africa,432,92,0.4,0.3,1.3,1.0,1.4,3.5
Martinique,310,41,0.4,0.3,1.8,1.3,1.4,3.4
Cameroon,576,112,0.4,0.3,1.4,1.0,1.3,3.4
Senegal,582,77,0.4,0.3,1.3,1.0,1.4,3.4
Algeria,549,105,0.4,0.3,1.5,1.0,1.4,3.3
Tunisia,623,111,0.4,0.3,1.4,1.0,1.4,3.2
Czechoslovakia,498,50,0.4,0.3,1.8,1.4,1.3,3.1
North Korea,340,72,0.4,0.3,1.6,1.1,1.4,3.1
Yugoslavia,481,60,0.5,0.3,2.0,1.5,1.3,3.0
Uzbekistan,299,63,0.5,0.4,1.7,1.2,1.4,3.0
Costa Rica,655,78,0.4,0.3,1.6,1.2,1.4,3.0
Denmark,832,87,0.5,0.3,1.8,1.4,1.3,2.9
Suriname,368,36,0.4,0.3,1.9,1.4,1.3,2.9
Romania,725,88,0.4,0.3,1.6,1.3,1.3,2.9
Scotland,745,78,0.5,0.3,1.5,1.2,1.3,2.8
Uganda,662,63,0.4,0.3,1.5,1.2,1.3,2.8
Fiji,230,25,0.4,0.4,2.3,1.6,1.4,2.7
