team,total_matches,total_opponents,win_ratio,loss_ratio,goals_scored_per_match,goals_conceded_per_match,goals_ratio,overall_performance_score
Brazil,260,43,0.7,0.2,2.3,1.0,2.2,8.4
Ghana,118,24,0.6,0.2,2.6,1.2,2.2,7.5
Costa Rica,102,19,0.6,0.2,2.2,1.0,2.1,6.9
Hungary,214,38,0.6,0.2,2.5,1.3,1.9,6.8
England,235,37,0.6,0.2,2.2,1.2,1.9,6.8
Germany,201,43,0.6,0.2,2.2,1.1,2.0,6.7
Russia,187,45,0.5,0.2,1.8,0.9,2.0,6.3
South Korea,194,23,0.5,0.2,1.7,1.0,1.7,5.6
Italy,150,38,0.5,0.2,1.8,1.0,1.8,5.5
Myanmar,133,22,0.5,0.3,2.0,1.1,1.8,5.0
Argentina,206,31,0.5,0.2,1.8,1.2,1.5,4.8
Suriname,99,17,0.5,0.3,2.5,1.5,1.7,4.7
Sweden,225,37,0.5,0.3,2.0,1.3,1.5,4.6
Zambia,106,23,0.5,0.3,2.4,1.6,1.5,4.5
Spain,132,34,0.5,0.3,1.9,1.2,1.6,4.5
DR Congo,91,30,0.5,0.3,2.0,1.3,1.5,4.3
Yugoslavia,214,50,0.5,0.3,2.0,1.3,1.6,4.3
German DR,146,45,0.5,0.3,1.8,1.3,1.4,3.5
Haiti,112,30,0.5,0.3,1.9,1.4,1.3,3.4
Mexico,188,48,0.5,0.3,1.6,1.1,1.4,3.4
Egypt,83,38,0.5,0.3,2.0,1.6,1.3,3.2
Indonesia,176,34,0.5,0.4,2.2,1.7,1.3,2.8
Nigeria,101,24,0.4,0.3,1.8,1.5,1.2,2.8
Kenya,145,17,0.5,0.4,2.2,1.7,1.3,2.7
Trinidad and Tobago,103,17,0.5,0.3,1.7,1.5,1.2,2.7
Poland,172,37,0.4,0.3,1.9,1.4,1.3,2.7
Czechoslovakia,169,36,0.4,0.4,1.7,1.4,1.3,2.4
Romania,121,33,0.4,0.3,1.5,1.2,1.2,2.4
Uganda,135,18,0.4,0.4,1.9,1.6,1.2,2.3
Netherlands,169,40,0.4,0.4,2.1,1.6,1.3,2.1
Vietnam Republic,153,20,0.4,0.4,1.9,1.7,1.1,2.1
India,104,21,0.4,0.3,1.7,1.6,1.0,2.1
Scotland,174,32,0.4,0.4,1.7,1.5,1.2,2.1
Uruguay,183,37,0.4,0.3,1.6,1.4,1.2,2.1
Bulgaria,167,42,0.4,0.3,1.5,1.4,1.1,2.0
Malaysia,211,22,0.4,0.4,1.8,1.6,1.1,1.9
Belgium,169,31,0.4,0.4,1.8,1.7,1.1,1.8
Morocco,86,31,0.4,0.3,1.2,1.2,1.0,1.7
France,171,36,0.4,0.4,1.9,1.6,1.1,1.4
Japan,84,19,0.4,0.4,1.8,1.7,1.1,1.4
Austria,178,33,0.4,0.4,1.8,1.7,1.1,1.0
Israel,95,40,0.4,0.4,1.5,1.5,1.0,0.4
Portugal,121,36,0.4,0.4,1.5,1.6,0.9,0.3
Curaçao,106,18,0.4,0.4,1.5,2.0,0.8,-0.1
Turkey,117,32,0.4,0.4,1.2,1.6,0.8,-0.3
Chile,191,33,0.4,0.5,1.5,1.7,0.9,-0.4
Denmark,189,40,0.3,0.5,1.8,2.0,0.9,-0.5
Paraguay,155,18,0.3,0.4,1.5,1.8,0.8,-0.7
Peru,133,25,0.3,0.5,1.5,1.7,0.9,-0.8
Hong Kong,107,19,0.3,0.5,1.5,1.8,0.8,-1.4
Tanzania,116,20,0.3,0.5,1.5,2.2,0.7,-1.7
Northern Ireland,124,24,0.3,0.5,1.3,1.8,0.7,-2.0
Republic of Ireland,103,28,0.3,0.5,1.3,2.0,0.7,-2.1
Norway,189,34,0.3,0.5,1.5,2.2,0.7,-2.2
Thailand,168,25,0.3,0.5,1.4,2.0,0.7,-2.3
Wales,128,27,0.3,0.5,1.2,1.8,0.7,-2.6
Switzerland,155,35,0.3,0.5,1.4,2.1,0.7,-2.9
Jamaica,84,16,0.3,0.5,1.1,2.0,0.6,-3.2
Cambodia,81,21,0.2,0.6,1.3,2.2,0.6,-3.4
Singapore,163,22,0.2,0.6,1.5,2.6,0.6,-4.0
Finland,144,27,0.2,0.7,1.0,3.0,0.3,-7.0
