team,total_matches,total_opponents,win_ratio,loss_ratio,goals_scored_per_match,goals_conceded_per_match,goals_ratio,overall_performance_score
Argentina,126,14,0.7,0.1,2.7,1.1,2.4,9.4
Italy,114,22,0.6,0.2,2.4,1.4,1.7,7.3
England,117,22,0.6,0.3,2.9,1.4,2.1,7.0
Germany,142,26,0.6,0.2,2.9,1.6,1.9,6.8
Scotland,83,15,0.6,0.3,2.2,1.3,1.7,6.0
Spain,60,15,0.5,0.3,2.4,1.4,1.8,5.6
Brazil,70,17,0.6,0.3,3.0,1.9,1.6,5.5
Sweden,173,22,0.6,0.3,3.1,1.8,1.7,5.4
Curaçao,67,11,0.5,0.2,2.2,1.4,1.6,5.4
Trinidad and Tobago,78,8,0.5,0.3,2.2,1.2,1.8,4.9
Austria,128,19,0.5,0.3,2.5,1.8,1.4,4.3
Hungary,170,26,0.5,0.3,2.7,2.0,1.3,3.8
Czechoslovakia,135,25,0.5,0.3,2.3,1.8,1.3,3.6
Denmark,104,11,0.5,0.4,2.4,2.0,1.2,2.7
Uruguay,113,10,0.5,0.4,2.0,1.6,1.3,2.3
Netherlands,103,18,0.4,0.4,2.4,2.1,1.1,1.8
Yugoslavia,116,23,0.4,0.4,2.2,2.2,1.0,1.1
Latvia,100,10,0.4,0.4,1.9,2.1,0.9,0.8
Romania,94,23,0.4,0.4,2.1,2.3,0.9,0.7
Paraguay,74,10,0.4,0.5,1.7,2.1,0.8,-0.2
Norway,103,18,0.4,0.5,2.2,2.5,0.9,-0.4
Poland,85,22,0.3,0.5,2.2,2.4,0.9,-0.8
Chile,61,10,0.4,0.5,1.8,2.0,0.9,-0.9
Wales,63,7,0.3,0.5,1.6,2.1,0.7,-1.2
Portugal,54,14,0.3,0.5,1.5,2.1,0.7,-1.4
France,123,25,0.4,0.5,1.8,2.4,0.8,-1.5
Estonia,102,9,0.3,0.5,1.5,1.9,0.8,-1.7
Belgium,129,22,0.3,0.5,1.8,2.6,0.7,-2.8
Switzerland,159,22,0.3,0.6,1.6,2.5,0.6,-3.0
Lithuania,72,5,0.3,0.6,1.4,2.5,0.5,-3.5
Bulgaria,70,14,0.3,0.6,1.7,3.0,0.6,-3.6
Northern Ireland,58,5,0.2,0.6,1.3,2.6,0.5,-4.9
Finland,112,16,0.2,0.7,1.4,3.3,0.4,-6.1
