team,total_matches,total_opponents,win_ratio,loss_ratio,goals_scored_per_match,goals_conceded_per_match,goals_ratio,overall_performance_score
England,76,9,0.6,0.2,2.5,1.0,2.4,8.2
Denmark,43,7,0.6,0.3,2.7,1.2,2.2,7.2
Scotland,61,4,0.5,0.2,1.9,0.9,2.1,6.2
Netherlands,51,10,0.5,0.2,2.7,1.8,1.5,5.4
Hungary,98,12,0.5,0.3,2.6,1.7,1.6,5.3
Argentina,116,4,0.5,0.3,1.7,1.2,1.4,3.5
Uruguay,100,4,0.5,0.3,1.6,1.3,1.2,2.7
Sweden,88,17,0.4,0.4,2.4,1.9,1.3,2.3
Brazil,34,4,0.4,0.4,1.5,1.4,1.1,1.5
Belgium,61,9,0.4,0.4,2.2,2.0,1.1,1.1
Austria,90,14,0.4,0.4,2.0,2.1,1.0,0.8
Italy,38,10,0.3,0.3,1.6,2.0,0.8,0.5
Wales,59,3,0.3,0.5,1.2,1.7,0.7,-1.5
Switzerland,50,10,0.3,0.5,1.7,2.3,0.8,-1.6
Germany,45,10,0.3,0.5,1.8,2.4,0.8,-2.3
Norway,59,13,0.3,0.5,1.4,2.8,0.5,-3.4
France,51,10,0.3,0.6,1.7,2.9,0.6,-3.6
Northern Ireland,62,5,0.2,0.7,0.9,2.2,0.4,-5.6
