team,total_matches,total_opponents,total_scored,total_conceded,reg_result,count_result
Sweden,1053,98,2062,1347,WIN,518
Sweden,1053,98,2062,1347,TIE,227
Sweden,1053,98,2062,1347,LOSS,308
Brazil,1023,90,2241,914,WIN,656
Brazil,1023,90,2241,914,TIE,206
Brazil,1023,90,2241,914,LOSS,161
Argentina,1022,81,1911,1051,WIN,555
Argentina,1022,81,1911,1051,TIE,253
Argentina,1022,81,1911,1051,LOSS,214
Germany,986,88,2211,1138,WIN,574
Germany,986,88,2211,1138,TIE,206
Germany,986,88,2211,1138,LOSS,206
England,982,87,2048,923,WIN,554
England,982,87,2048,923,TIE,242
England,982,87,2048,923,LOSS,186
Hungary,966,88,1952,1432,WIN,453
Hungary,966,88,1952,1432,TIE,212
Hungary,966,88,1952,1432,LOSS,301
Mexico,935,102,1636,981,WIN,477
Mexico,935,102,1636,981,TIE,214
Mexico,935,102,1636,981,LOSS,244
Uruguay,919,83,1441,1140,WIN,400
Uruguay,919,83,1441,1140,TIE,224
Uruguay,919,83,1441,1140,LOSS,295
South Korea,905,121,1580,816,WIN,478
South Korea,905,121,1580,816,TIE,233
South Korea,905,121,1580,816,LOSS,194
France,880,85,1578,1136,WIN,442
France,880,85,1578,1136,TIE,188
France,880,85,1578,1136,LOSS,250
Poland,853,96,1439,1143,WIN,367
Poland,853,96,1439,1143,TIE,216
Poland,853,96,1439,1143,LOSS,270
Italy,838,80,1441,805,WIN,445
Italy,838,80,1441,805,TIE,235
Italy,838,80,1441,805,LOSS,158
Switzerland,836,89,1226,1390,WIN,296
Switzerland,836,89,1226,1390,TIE,184
Switzerland,836,89,1226,1390,LOSS,356
Norway,834,98,1261,1364,WIN,308
Norway,834,98,1261,1364,TIE,190
Norway,834,98,1261,1364,LOSS,336
Denmark,832,87,1490,1133,WIN,379
Denmark,832,87,1490,1133,TIE,174
Denmark,832,87,1490,1133,LOSS,279
Netherlands,823,88,1706,1004,WIN,423
Netherlands,823,88,1706,1004,TIE,187
Netherlands,823,88,1706,1004,LOSS,213
Austria,821,74,1450,1281,WIN,341
Austria,821,74,1450,1281,TIE,177
Austria,821,74,1450,1281,LOSS,303
Belgium,805,78,1432,1231,WIN,355
Belgium,805,78,1432,1231,TIE,171
Belgium,805,78,1432,1231,LOSS,279
Chile,794,87,1117,1135,WIN,300
Chile,794,87,1117,1135,TIE,170
Chile,794,87,1117,1135,LOSS,324
Finland,778,92,911,1603,WIN,202
Finland,778,92,911,1603,TIE,162
Finland,778,92,911,1603,LOSS,414
Zambia,768,74,1202,808,WIN,347
Zambia,768,74,1202,808,TIE,202
Zambia,768,74,1202,808,LOSS,219
Paraguay,750,72,970,1080,WIN,263
Paraguay,750,72,970,1080,TIE,199
Paraguay,750,72,970,1080,LOSS,288
Scotland,745,78,1140,902,WIN,336
Scotland,745,78,1140,902,TIE,166
Scotland,745,78,1140,902,LOSS,243
Spain,733,91,1476,654,WIN,426
Spain,733,91,1476,654,TIE,172
Spain,733,91,1476,654,LOSS,135
United States,728,99,1081,946,WIN,320
United States,728,99,1081,946,TIE,154
United States,728,99,1081,946,LOSS,254
Romania,725,88,1177,927,WIN,316
Romania,725,88,1177,927,TIE,185
Romania,725,88,1177,927,LOSS,224
Russia,718,92,1229,696,WIN,366
Russia,718,92,1229,696,TIE,189
Russia,718,92,1229,696,LOSS,163
Trinidad and Tobago,700,79,1195,913,WIN,304
Trinidad and Tobago,700,79,1195,913,TIE,149
Trinidad and Tobago,700,79,1195,913,LOSS,247
Bulgaria,700,93,982,1044,WIN,256
Bulgaria,700,93,982,1044,TIE,175
Bulgaria,700,93,982,1044,LOSS,269
Japan,686,114,1205,791,WIN,330
Japan,686,114,1205,791,TIE,152
Japan,686,114,1205,791,LOSS,204
Egypt,685,117,1104,685,WIN,339
Egypt,685,117,1104,685,TIE,169
Egypt,685,117,1104,685,LOSS,177
Malaysia,678,65,1075,1000,WIN,256
Malaysia,678,65,1075,1000,TIE,164
Malaysia,678,65,1075,1000,LOSS,258
